Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39968,,,,,,,,3.931122156538614,,8.103061944444441,,121.72556097560975,,28.0,,
2,10,39975,,,,,,,,3.931122156538614,,8.103061944444441,,177.37180487804878,,28.0,,
3,17,39982,,,,,,,,3.931122156538614,,8.103061944444441,,260.8401463414634,,28.0,,
4,24,39989,,,,,,,,3.931122156538614,,8.103061944444441,,292.14039024390246,,28.0,,
5,31,39996,,,,,,,,3.931122156538614,,8.103061944444441,,344.309512195122,,28.0,,
6,38,40003,,,,,,,,12.84166571135947,,26.470002351851846,,413.8683414634147,,28.0,,
7,45,40010,,,,,,,,35.118024598411616,,72.38735337037036,,455.60268292682935,,28.0,,
8,52,40017,,,,,,,,35.118024598411616,,72.38735337037036,,559.9385365853658,,28.0,,
9,59,40024,,,,,,,,41.66701491633747,,85.8865203019943,,580.8060487804878,,28.0,,
10,66,40031,,,,,,,,50.39900200690529,,103.88540954415953,,706.0111219512196,,28.0,,
11,73,40038,,,,,,,,29.30136263617792,,60.39770504273501,,706.0111219512196,,28.0,,
12,80,40045,,,,,,,,13.478133108132392,,27.781926666666667,,789.4798048780486,,28.0,,
13,87,40052,,,,,,,,38.72289035828512,,79.8179162962963,,852.0813170731708,,28.0,,
14,94,40059,,,,,,,,57.65645829589968,,118.84490851851852,,852.0813170731708,,28.0,,
15,101,40066,,,,,,,,57.65645829589968,,118.84490851851852,,852.0813170731708,,28.0,,
16,108,40073,,,,,,,,0.0,,0.0,,852.0813170731708,,28.0,,
