Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39927,,33.23447551541711,,8.021257391304347,,31.25594033333333,,20.060558296786215,,0.00111645031144934,,0.07664362999999999,,301.0,,1398.0528509702658
2,8,39934,,33.23447551541711,,8.021257391304347,,31.25594033333333,,20.060558296786215,,0.00111645031144934,,0.07664362999999999,,301.0,,1398.0528509702658
3,15,39941,,33.23447551541711,,8.021257391304347,,31.25594033333333,,20.060558296786215,,0.00111645031144934,,0.13795883499999997,,301.0,,1398.0528509702658
4,22,39948,,31.56150158347004,,12.296635217391303,,31.25594033333333,,20.060558296786215,,0.00111645031144934,,0.18394411,,301.0,,1424.1493854487157
5,29,39955,,45.08785940495721,,17.566621739130436,,44.65134333333334,,28.657940423980307,,0.0015949290163562002,,0.18394411,,301.0,,1673.299122069594
6,36,39962,,45.08785940495721,,17.566621739130436,,44.65134333333334,,28.657940423980307,,0.0015949290163562002,,0.260589245,,301.0,,1673.299122069594
7,43,39969,,45.08785940495721,,17.566621739130436,,44.65134333333334,,28.657940423980307,,0.0015949290163562002,,0.260589245,,301.0,,1673.299122069594
8,50,39976,,42.859207609116,,23.2620652173913,,44.65134333333334,,28.657940423980307,,0.0015949290163562002,,0.35256129999999997,,301.0,,1708.0636138049435
9,57,39983,,64.288811413674,,34.89309782608696,,66.977015,,42.98691063597045,,0.0023923935245343,,0.35256129999999997,,301.0,,2140.695420707415
10,64,39990,,64.288811413674,,34.89309782608696,,66.977015,,42.98691063597045,,0.0023923935245343,,0.44453486,,301.0,,2140.695420707415
11,71,39997,,65.83125148928836,,30.95130652173913,,66.977015,,42.98691063597045,,0.0023923935245343,,0.44453486,,301.0,,2116.635069350137
12,78,40004,,65.83125148928836,,30.95130652173913,,66.977015,,42.98691063597045,,0.0023923935245343,,0.44453486,,301.0,,2116.635069350137
13,85,40011,,78.99750178714604,,37.141567826086956,,80.372418,,51.58429276316455,,0.0028708722294411605,,0.536506915,,301.0,,2371.402083220165
14,92,40018,,91.75891553467618,,37.141567826086956,,91.33845000000001,,58.622466047166434,,0.0032625747253890005,,0.536506915,,301.0,,2549.0327015298813
15,99,40025,,91.75891553467618,,37.141567826086956,,91.33845000000001,,58.622466047166434,,0.0032625747253890005,,0.536506915,,301.0,,2549.0327015298813
16,106,40032,,91.75891553467618,,37.141567826086956,,91.33845000000001,,58.622466047166434,,0.0032625747253890005,,0.536506915,,301.0,,2549.0327015298813
17,113,40039,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
18,120,40046,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
19,127,40053,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
20,134,40060,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
21,141,40067,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
22,148,40074,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
23,155,40081,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
24,162,40088,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
25,169,40095,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
26,176,40102,,101.95435059408463,,41.26840869565217,,101.48716666666667,,65.13607338574047,,0.00362508302821,,0.536506915,,301.0,,2738.614112810979
27,183,40109,,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2904.387087737701
28,190,40116,,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2904.387087737701
29,197,40123,,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2904.387087737701
30,204,40130,,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2904.387087737701
31,211,40137,,113.86388252798952,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2904.387087737701
32,218,40144,,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2794.9599925866623
33,225,40151,,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,,2794.9599925866623
