Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
,5.040994765346787,9.084779363349107,1.86,3.576923076923077,5.844988235294117,7.714723981900453,1.0003749771525328,6.25234360720333,3.479679311152941,12.8877011524183,12.2222,59.62048780487805
,5.040994765346787,9.084779363349107,1.86,3.576923076923077,5.844988235294117,7.714723981900453,1.0003749771525328,6.25234360720333,3.479679311152941,12.8877011524183,17.3149,84.46292682926831
,5.040994765346787,9.084779363349107,1.86,3.576923076923077,5.844988235294117,7.714723981900453,1.0003749771525328,6.25234360720333,3.479679311152941,12.8877011524183,17.3149,84.46292682926831
,5.040994765346787,9.084779363349107,1.86,3.576923076923077,5.844988235294117,7.714723981900453,1.0003749771525328,6.25234360720333,3.479679311152941,12.8877011524183,17.3149,84.46292682926831
6,6.5538086340883845,11.81114208639917,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,6.5538086340883845,11.81114208639917,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,6.5538086340883845,11.81114208639917,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,6.5538086340883845,11.81114208639917,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,6.5538086340883845,11.81114208639917,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.86,3.576923076923077,7.599082352941177,10.638214177978885,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
7,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,17.3149,84.46292682926831
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
8,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
9,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,23.426,114.27317073170731
,5.649835029386539,9.112713415647393,1.7513,3.3678846153846154,7.599082352941177,10.756669306184014,1.3005897581282673,8.12868598830167,4.523938899929412,16.755329258997822,29.5372,144.0839024390244
10,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
,3.3014980094718127,5.325041358935688,1.7513,3.3678846153846154,4.440546517120479,5.4924429131495165,0.7600035178489334,4.750021986555834,2.6435772363977836,9.791026801473272,29.5372,144.0839024390244
11,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
12,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,3.7573341407369703,6.060267079175494,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,29.5372,144.0839024390244
,2.2544004844421823,1.5738979559074702,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.7513,3.3678846153846154,5.053650489698977,6.514282867447013,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
13,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
14,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
15,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
16,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
17,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
18,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
19,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
20,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,2.2544004844421823,1.5738979559074702,1.54525,2.971634615384615,5.053650489698977,6.738824534113679,0.8649368124716349,5.405855077947718,3.008574585081023,11.142868833633418,35.6483,173.89414634146343
,,,,,,,,,,,,
,485.08490324188483,689.1297776921095,238.2086000000004,458.6134615384625,744.1986069575938,981.3447167241944,127.37025883760253,796.224117735016,443.0415240842445,1641.16453364535,3580.1069999999945,17464.141585365833
