Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,40282,,0.8889195879439663,,0.6568383831486934,,0.7066775872282608,,0.6181812358645947,,1.274231796326228,,11.411771341463414,,2.6249999999999996,,56.99627855731339
2,10,40289,,1.2698851256342378,,0.9383405473552765,,1.0095394103260869,,0.8831160512351354,,1.8203311376088966,,16.628606707317072,,2.6249999999999996,,78.28629813065675
3,17,40296,,1.9365748165922125,,1.4309693347167969,,1.5395476007472821,,1.346751978133581,,2.7760049848535675,,24.453763719512192,,2.6249999999999996,,115.4916601888857
4,24,40303,,2.2111314451954045,,1.5951789305039696,,1.8549221000339673,,1.6226325228865135,,3.3446663121750384,,27.38816158536585,,2.6249999999999996,,133.065273205045
5,31,40310,,2.712419902770539,,1.9267259239028336,,2.2682666800271734,,1.984214477537634,,4.089980464180722,,32.279016768292685,,2.6249999999999996,,160.3902674046441
6,38,40317,,3.737702845454074,,2.4521966304217884,,3.077228922554347,,2.6918713891070003,,5.5486448255318885,,38.80015701219512,,2.6249999999999996,,210.44168997690738
7,45,40324,,4.259280076807003,,2.352106972037226,,3.401026952445651,,2.9751205962508407,,6.132494876434974,,42.71275152439024,,2.6249999999999996,,222.21486981877462
8,52,40331,,5.381508692549295,,2.277039728248804,,4.131212003396738,,3.613865485525211,,7.449113693756299,,52.49423780487804,,2.6249999999999996,,252.83650734663826
9,59,40338,,4.905446115179668,,2.277039728248804,,4.3388070722373175,,3.795463683252987,,7.823434660287471,,54.450567073170724,,2.6249999999999996,,257.1985889911442
10,66,40345,,6.5478412328934565,,2.277039728248804,,5.584377485280797,,4.885052869619641,,10.0693604594745,,66.18854268292682,,2.6249999999999996,,311.2634564661555
11,73,40352,,6.5478412328934565,,2.277039728248804,,5.584377485280797,,4.885052869619641,,10.0693604594745,,66.18854268292682,,2.6249999999999996,,311.2634564661555
12,80,40359,,7.236771749150978,,2.277039728248804,,6.106853141983688,,5.3420995525865855,,11.011452166653845,,74.01373170731705,,2.6249999999999996,,334.05794286182555
13,87,40366,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
14,94,40373,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
15,101,40380,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
16,108,40387,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
17,115,40394,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
18,122,40401,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
19,129,40408,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
20,136,40415,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
21,143,40422,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
22,150,40429,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
23,157,40436,,7.965650554415137,,1.6847013319672128,,6.498709884510859,,5.684884564811793,,11.718020947038353,,79.88262347560976,,2.6249999999999996,,335.29151585845216
