Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,9.1667,44.715609756097564
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,9.1667,44.715609756097564
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,12.2222,59.62048780487805
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,12.2222,59.62048780487805
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,12.2222,59.62048780487805
,3.4518660953406726,6.696696453549126,0.9490968571428572,2.0632540372670807,3.89227659716,6.487127661933333,0.6661666294627437,4.163541434142148,2.3171773497574715,0.00023171773497574714,12.2222,59.62048780487805
4,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
5,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,12.2222,59.62048780487805
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
6,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
7,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,17.3149,84.46292682926831
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.625992387417126,9.249144914584894,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
8,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
9,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,23.426,114.27317073170731
,4.306958429664221,8.555592832513362,0.9490968571428572,2.0632540372670807,5.216205209260001,8.693675348766668,0.8927581984728872,5.579738740455545,3.1053477986131286,0.00031053477986131285,29.5372,144.0839024390244
10,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
11,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
12,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,29.5372,144.0839024390244
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
13,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
14,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
15,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
16,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
17,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
18,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
19,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
20,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
,3.6697247706422016,6.766622131695847,1.4236452857142858,3.0948810559006215,5.0,8.333333333333334,0.8557544830560249,5.348465519100155,2.9766350000000004,0.00029766350000000005,35.6483,173.89414634146343
