Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,3,39122,,2.3789281979801458,,4.734416296296297,,9.135186719743366,,6.302840822360486,,10.393431203782237,,87.03377609756097,,20.019999999999996,,176.28915563334775
2,10,39129,,3.194560723001909,,6.357644740740741,,12.267250737941088,,8.463814818598365,,13.956893330793287,,126.82084048780487,,20.019999999999996,,219.88547428819305
3,17,39136,,4.621917641789999,,9.19829451851852,,17.74836276978711,,12.245519312014656,,20.192952053062626,,186.50070463414633,,20.019999999999996,,295.86469098041636
4,24,39143,,5.233642035556324,,10.415715851851854,,20.097410783435404,,13.866249809193068,,22.865548648320917,,208.88037902439024,,20.019999999999996,,328.3261742562333
5,31,39150,,3.7012272717281114,,12.850558518518516,,24.795506810731993,,17.10771080354989,,28.2107418388375,,246.18130121951222,,20.019999999999996,,384.19469116341486
6,38,39157,,3.5959207688593167,,16.0970154074074,,31.059634847127445,,21.429658796025652,,35.33766609285961,,295.9158641463415,,20.019999999999996,,464.8873692228106
7,45,39164,,3.9585346279039553,,17.720243851851844,,34.191698865325165,,23.590632792263534,,38.90112821987066,,325.75591829268296,,20.019999999999996,,506.7197026228217
8,52,39171,,4.865069275515553,,21.77831496296296,,42.021858910819475,,28.993067782858237,,47.809783537398296,,400.35605365853655,,20.019999999999996,,611.3005361228498
9,59,39178,,5.0463762050378715,,22.58992918518518,,43.58789091991834,,30.073554780977172,,49.591514600903814,,415.27632487804874,,20.019999999999996,,632.2167105378799
10,66,39185,,6.134217782171783,,27.459614518518514,,52.9840829745115,,36.5564767696908,,60.28190098193696,,504.797952195122,,20.019999999999996,,757.7137570280596
11,73,39192,,6.134217782171783,,27.459614518518514,,52.9840829745115,,36.5564767696908,,60.28190098193696,,504.797952195122,,20.019999999999996,,757.7137570280596
12,80,39199,,6.859445500261061,,30.706071407407403,,59.24821101090696,,40.87842476216657,,67.40882523595907,,564.4780604878048,,20.019999999999996,,841.3784238280822
13,87,39206,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
14,94,39213,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
15,101,39220,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
16,108,39227,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
17,115,39234,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
18,122,39241,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
19,129,39248,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
20,136,39255,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
21,143,39262,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
22,150,39269,,7.403366288828021,,33.140914074074075,,63.94630703820355,,44.119885756523395,,72.75401842647564,,609.2381417073171,,20.019999999999996,,904.1269239280991
