Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39894,,4.0576975919986005,,0.9793395652173912,,3.816132249999999,,2.449254210654131,,0.000136310793839745,,0.009357652499999997,,10.499999999999998,,97.19249924636965
2,10,39901,,4.0576975919986005,,0.9793395652173912,,3.816132249999999,,2.449254210654131,,0.000136310793839745,,0.013635457499999998,,10.499999999999998,,97.19249924636965
3,17,39908,,4.0576975919986005,,0.9793395652173912,,3.816132249999999,,2.449254210654131,,0.000136310793839745,,0.02005208625,,10.499999999999998,,97.19249924636965
4,24,39915,,3.8534391468190154,,1.5013333695652173,,3.816132249999999,,2.449254210654131,,0.000136310793839745,,0.022458292499999997,,10.499999999999998,,100.37870403734318
5,31,39922,,5.50491306688431,,2.144761956521739,,5.451617500000001,,3.4989345866487582,,0.00019472970548535,,0.026468793749999994,,10.499999999999998,,130.798148624776
6,38,39929,,5.50491306688431,,2.144761956521739,,5.451617500000001,,3.4989345866487582,,0.00019472970548535,,0.03181612874999999,,10.499999999999998,,130.798148624776
7,45,39936,,5.50491306688431,,2.144761956521739,,5.451617500000001,,3.4989345866487582,,0.00019472970548535,,0.035024456249999995,,10.499999999999998,,130.798148624776
8,52,39943,,5.232810231345558,,2.8401358695652164,,5.451617500000001,,3.4989345866487582,,0.00019472970548535,,0.04304527499999999,,10.499999999999998,,135.0426505226966
9,59,39950,,7.849215347018337,,4.260203804347825,,8.177426249999998,,5.248401879973136,,0.00029209455822802496,,0.04464946499999999,,10.499999999999998,,187.8639757840449
10,66,39957,,7.849215347018337,,4.260203804347825,,8.177426249999998,,5.248401879973136,,0.00029209455822802496,,0.054274604999999976,,10.499999999999998,,187.8639757840449
11,73,39964,,8.03753651904102,,3.778938586956521,,8.177426249999998,,5.248401879973136,,0.00029209455822802496,,0.054274604999999976,,10.499999999999998,,184.92637474623768
12,80,39971,,8.03753651904102,,3.778938586956521,,8.177426249999998,,5.248401879973136,,0.00029209455822802496,,0.06069125999999999,,10.499999999999998,,184.92637474623768
13,87,39978,,9.645043822849223,,4.534726304347825,,9.812911499999998,,6.298082255967764,,0.00035051346987362996,,0.06550375124999999,,10.499999999999998,,216.0316496954852
14,94,39985,,11.203123408303487,,4.534726304347825,,11.151787500000001,,7.157394110409853,,0.00039833761182075,,0.06550375124999999,,10.499999999999998,,237.719108907718
15,101,39992,,11.203123408303487,,4.534726304347825,,11.151787500000001,,7.157394110409853,,0.00039833761182075,,0.06550375124999999,,10.499999999999998,,237.719108907718
16,108,39999,,11.203123408303487,,4.534726304347825,,11.151787500000001,,7.157394110409853,,0.00039833761182075,,0.06550375124999999,,10.499999999999998,,237.719108907718
17,115,40006,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
18,122,40013,,12.447914898114982,,5.038584782608695,,12.390874999999998,,7.9526601226776155,,0.00044259734646750007,,0.06550375124999999,,10.499999999999998,,260.8656765641311
